snakeid,repro,tb.med,tb.q1,tb.q3,n.obs
O1,Pregnant,32.25,31,33,258
O2,Pregnant,30.7,28.7,31.8,236
PBW,Pregnant,30.45,27.949999999999996,31.475,122
PGPu,Pregnant,28.8,27.3,30.3,233
PPB,Non-Pregnant,32.2,30.15,32.849999999999994,227
PPuA,Pregnant,27.6,26.975,30.825000000000003,236
PPuR,Pregnant,31.4,30.5,32.5,257
PPuW,Pregnant,30.7,29.5,32.625,264
PPuY,Pregnant,30.8,29.95,32.1,227
PRP,Non-Pregnant,31.2,30.8,32.575,78
PWW,Pregnant,30.9,29,32.9,257
PYPu,Pregnant,31,30.1,32.4,539
PYY,Non-Pregnant,32.9,31.5,35.6,264
R1,Non-Pregnant,32,29.8,34.1,264
R2,Pregnant,31.3,30.6,31.9,425
RBP,Non-Pregnant,36.1,35.4,36.8,78
RRA,Non-Pregnant,33.349999999999994,32.5,34.8,258
RRB,Non-Pregnant,29.4,28,31.8,233
RYP_B,Non-Pregnant,30.6,28.1,32.175000000000004,174
WPuR,Non-Pregnant,29.7,27,30.8,264
WPuW,Pregnant,29.4,27.7,31.4,264
WRA,Non-Pregnant,31,29.05,32,227
WWG,Non-Pregnant,33.2,32.625,33.875,78
WWPu,Pregnant,29.4,28.6,30.8,292
WYG,Non-Pregnant,33.6,32.650000000000006,34.05,267
