Term,numDF,denDF,F-value,p-value
Location,1,13,237.42213587365674,9.905731790382788e-10
Exposure,1,13,1136.9408157416876,4.8405723873656825e-14
Hour,4,33808,194.38456097772305,0
Day,2,33808,445.2700601239216,0
Location:Exposure,1,13,62.53810241848371,2.5371111453953432e-6
Location:Hour,4,33808,1.7893584369449953,0.1278260716297026
Exposure:Hour,4,33808,63.69397944125385,0
Location:Day,2,33808,0.06966455180155606,0.9327067760879737
Exposure:Day,2,33808,2.3489274829775897,0.09548708289852281
Hour:Day,8,33808,21.9890601675561,0
Location:Exposure:Hour,4,33808,1.2654336272549085,0.28104468603363886
Location:Exposure:Day,2,33808,1.3612248656068715,0.2563606438058409
Location:Hour:Day,8,33808,6.910265853237661,3.961898809023978e-9
Exposure:Hour:Day,8,33808,3.128628017149919,0.0015412790620923378
Location:Exposure:Hour:Day,8,33808,0.9746762227146831,0.4535267220362972
